31.03.2020,Авиастроительный р-н, г Казань, ул Михаила Миля
30.03.2020,Советский р-н, г Казань,0
30.03.2020,Новосавиновский р-н, г Казань, пр-кт Ямашева
28.03.2020,Советский р-н, г Казань,0
28.03.2020,Приволжский р-н, г Казань, ул Кул Гали
28.03.2020,Советский р-н, г Казань, тракт Мамадышский
27.03.2020,Приволжский р-н, г Казань, ул Оренбургский Тракт
27.03.2020,Вахитовский р-н, г Казань, ул Вишневского
27.03.2020,Вахитовский р-н, г Казань, пр-кт Универсиады
26.03.2020,Приволжский р-н, г Казань, ул Тульская
26.03.2020,Советский р-н, г Казань, ул Шуртыгина
26.03.2020,Советский р-н, г Казань, ул Академика Губкина
26.03.2020,Новосавиновский р-н, г Казань, ул Мусина
26.03.2020,Советский р-н, г Казань, ул Патриса Лумумбы
26.03.2020,Советский р-н, г Казань, ул Юлиуса Фучика
26.03.2020,Приволжский р-н, г Казань, ул Оренбургский Тракт
26.03.2020,Советский р-н, г Казань, тракт Мамадышский
26.03.2020,Новосавиновский р-н, г Казань, пр-кт Ямашева
25.03.2020,Советский р-н, г Казань, ул Николая Ершова
25.03.2020,Новосавиновский р-н, г Казань, ул Чистопольская
25.03.2020,Московский р-н, г Казань, ул Тэцевская
25.03.2020,Вахитовский р-н, г Казань, ул Право-Булачная
25.03.2020,Вахитовский р-н, г Казань, ул Вишневского
24.03.2020,Вахитовский р-н, г Казань, ул Профсоюзная
24.03.2020,Новосавиновский р-н, г Казань, ул Чистопольская
24.03.2020,Приволжский р-н, г Казань, пр-кт Победы
23.03.2020,Приволжский р-н, г Казань, ул Габдуллы Тукая
23.03.2020,Кировский р-н, г Казань, ул Коммунаров
23.03.2020,Вахитовский р-н, г Казань, ул Вишневского
23.03.2020,Советский р-н, г Казань, пр-кт Победы
23.03.2020,Советский р-н, г Казань, тракт Мамадышский
23.03.2020,Советский р-н, г Казань, пр-кт Победы
23.03.2020,Приволжский р-н, г Казань, пр-кт Победы
23.03.2020,Приволжский р-н, г Казань, ул Нурсултана Назарбаева
22.03.2020,Авиастроительный р-н, г Казань, ул Тэцевская
22.03.2020,Новосавиновский р-н, г Казань, пр-кт Ямашева
21.03.2020,Приволжский р-н, г Казань, ул Рихарда Зорге
21.03.2020,Приволжский р-н, г Казань, ул Ново-Давликеевская
21.03.2020,Приволжский р-н, г Казань, ул Братьев Касимовых
20.03.2020,Вахитовский р-н, г Казань,0
20.03.2020,Приволжский р-н, г Казань, ул Рауиса Гареева
19.03.2020,Авиастроительный р-н, г Казань, ул Белинского
18.03.2020,Московский р-н, г Казань, ул Декабристов
18.03.2020,Московский р-н, г Казань, ул Декабристов
17.03.2020,Приволжский р-н, г Казань, пр-кт Победы
17.03.2020,Новосавиновский р-н, г Казань,0
17.03.2020,Авиастроительный р-н, г Казань, ул Побежимова
16.03.2020,Приволжский р-н, г Казань, ул Давликеевская
16.03.2020,Советский р-н, г Казань, ул Академика Завойского
16.03.2020,Новосавиновский р-н, г Казань, пр-кт Ямашева
16.03.2020,Кировский р-н, г Казань, ул Окольная
15.03.2020,Вахитовский р-н, г Казань, ул Право-Булачная
15.03.2020,Авиастроительный р-н, г Казань, ул Беломорская
14.03.2020,Новосавиновский р-н, г Казань, ул Адоратского
14.03.2020,Вахитовский р-н, г Казань, ул Лево-Булачная
14.03.2020,Вахитовский р-н, г Казань, ул Нурсултана Назарбаева
14.03.2020,Вахитовский р-н, г Казань, ул Николая Ершова
14.03.2020,Вахитовский р-н, г Казань, ул Кремлевская
13.03.2020,Кировский р-н, г Казань, ул Юго-Западная 2-я
13.03.2020,Вахитовский р-н, г Казань, ул Чернышевского
13.03.2020,Новосавиновский р-н, г Казань, ул Адоратского
13.03.2020,Советский р-н, г Казань, ул Даурская
13.03.2020,Авиастроительный р-н, г Казань, ул Михаила Миля
13.03.2020,Приволжский р-н, г Казань, ул Пожарная
12.03.2020,Московский р-н, г Казань, ул Тэцевская
12.03.2020,Советский р-н, г Казань,0
12.03.2020,Вахитовский р-н, г Казань, ул Татарстан
12.03.2020,Вахитовский р-н, г Казань, ул Университетская
12.03.2020,Авиастроительный р-н, г Казань, ул Дементьева
12.03.2020,Вахитовский р-н, г Казань, ул Достоевского
11.03.2020,Советский р-н, г Казань, ул Гвардейская
11.03.2020,Советский р-н, г Казань, ул Каспийская
10.03.2020,Советский р-н, г Казань, ул Сибирский Тракт
10.03.2020,Новосавиновский р-н, г Казань, ул Мусина
10.03.2020,Вахитовский р-н, г Казань, ул Чернышевского
09.03.2020,Советский р-н, г Казань, ул Академика Сахарова
09.03.2020,Приволжский р-н, г Казань, ул Матюшинская
09.03.2020,Советский р-н, г Казань, ул Юлиуса Фучика
08.03.2020,Вахитовский р-н, г Казань, ул Кремлевская
08.03.2020,Приволжский р-н, г Казань, ул Техническая
08.03.2020,Советский р-н, г Казань, ул Академика Губкина
08.03.2020,Приволжский р-н, г Казань, ул Рихарда Зорге
07.03.2020,Приволжский р-н, г Казань, ул Академика Парина
07.03.2020,Приволжский р-н, г Казань, ул Тихорецкая
06.03.2020,Вахитовский р-н, г Казань,0
06.03.2020,Московский р-н, г Казань, ул Шамиля Усманова
06.03.2020,Советский р-н, г Казань, ул Юлиуса Фучика
06.03.2020,Вахитовский р-н, г Казань, ул Хади Такташа
06.03.2020,Вахитовский р-н, г Казань, ул Островского
06.03.2020,Московский р-н, г Казань, ул Декабристов
05.03.2020,Советский р-н, г Казань, ул Аделя Кутуя
05.03.2020,Советский р-н, г Казань, пр-кт Победы
05.03.2020,Советский р-н, г Казань, ул Минская
05.03.2020,Кировский р-н, г Казань, ул Декабристов
04.03.2020,Вахитовский р-н, г Казань, ул Габдуллы Тукая
04.03.2020,Новосавиновский р-н, г Казань, ул Фатыха Амирхана
04.03.2020,Приволжский р-н, г Казань, ул Дубравная
04.03.2020,Приволжский р-н, г Казань, ул Нурсултана Назарбаева
04.03.2020,Советский р-н, г Казань, ул Даурская
04.03.2020,Приволжский р-н, г Казань, ул Фермское Шоссе
03.03.2020,Вахитовский р-н, г Казань, ул Николая Ершова
03.03.2020,Новосавиновский р-н, г Казань, ул Маршала Чуйкова
03.03.2020,Советский р-н, г Казань, ул Минская
03.03.2020,Советский р-н, г Казань, ул Азина
03.03.2020,Советский р-н, г Казань, тракт Мамадышский
03.03.2020,Кировский р-н, г Казань, ул Горьковское Шоссе
03.03.2020,Вахитовский р-н, г Казань, ул Вишневского
03.03.2020,Вахитовский р-н, г Казань, ул Татарстан
03.03.2020,Советский р-н, г Казань, ул Шуртыгина
02.03.2020,Советский р-н, г Казань, ул Академика Арбузова
02.03.2020,Вахитовский р-н, г Казань, ул Большая Красная
02.03.2020,Вахитовский р-н, г Казань, ул Саид-Галеева
02.03.2020,Вахитовский р-н, г Казань, ул Вишневского
01.03.2020,Кировский р-н, г Казань, ул Лейтенанта Красикова
01.03.2020,Кировский р-н, г Казань, ул Привокзальная
01.03.2020,Приволжский р-н, г Казань, ул Оренбургский Тракт
01.03.2020,Советский р-н, г Казань, ул Шавалиева
